RIC,IssuerName,StartDate,EndDate
AAF.L,Airtel Africa PLC,01/07/2023,30/06/2025
ADML.L,Admiral Group PLC,01/07/2023,30/06/2025
AV.L,Aviva PLC,01/07/2023,30/06/2025
BAES.L,BAE Systems PLC,01/07/2023,30/06/2025
BARC.L,Barclays PLC,01/07/2023,30/06/2025
BP.L,BP PLC,01/07/2023,30/06/2025
BTRW.L,Barratt Redrow PLC,01/07/2023,30/06/2025
CNA.L,Centrica PLC,01/07/2023,30/06/2025
CPG.L,Compass Group PLC,01/07/2023,30/06/2025
CRDA.L,Croda International PLC,01/07/2023,30/06/2025
CTEC.L,ConvaTec Group PLC,01/07/2023,30/06/2025
DCC.L,DCC PLC,01/07/2023,30/06/2025
DGE.L,Diageo PLC,01/07/2023,30/06/2025
EDV.L,Endeavour Mining plc,01/07/2023,17/03/2024
EDV.L,Endeavour Mining plc,08/07/2024,30/06/2025
ENT.L,Entain PLC,01/07/2023,30/06/2025
EXPN.L,Experian PLC,01/07/2023,30/06/2025
EZJ.L,Easyjet PLC,18/03/2024,30/06/2025
FRES.L,Fresnillo PLC,01/07/2023,30/06/2025
GLEN.L,Glencore PLC,01/07/2023,30/06/2025
GSK.L,GSK plc,01/07/2023,30/06/2025
HLMA.L,Halma PLC,01/07/2023,30/06/2025
HLN.L,Haleon PLC,01/07/2023,30/06/2025
HSBA.L,HSBC Holdings PLC,01/07/2023,30/06/2025
ICAG.L,International Consolidated Airlines Group SA,01/07/2023,30/06/2025
III.L,3i Group PLC,01/07/2023,30/06/2025
IMB.L,Imperial Brands PLC,01/07/2023,30/06/2025
IMI.L,IMI PLC,01/07/2023,30/06/2025
ITRK.L,Intertek Group PLC,01/07/2023,30/06/2025
JMAT.L,Johnson Matthey,01/07/2023,17/09/2023
LLOY.L,Lloyds Banking Group PLC,01/07/2023,30/06/2025
LMPL.L,LondonMetric Property PLC,24/06/2024,30/06/2025
MKS.L,Marks and Spencer Group PLC,18/09/2023,30/06/2025
MRON.L,Melrose Industries PLC,01/07/2023,30/06/2025
NWG.L,NatWest Group PLC,01/07/2023,30/06/2025
PHNX.L,Phoenix Group Holdings PLC,01/07/2023,30/06/2025
PSHP.L,Pershing Square Holdings Ltd,01/07/2023,30/06/2025
PSON.L,Pearson PLC,01/07/2023,30/06/2025
REL.L,RELX PLC,01/07/2023,30/06/2025
RIO.L,Rio Tinto PLC,01/07/2023,30/06/2025
RKT.L,Reckitt Benckiser Group PLC,01/07/2023,30/06/2025
RMV.L,Rightmove PLC,01/07/2023,30/06/2025
RR.L,Rolls-Royce Holdings PLC,01/07/2023,30/06/2025
RS1R.L,RS Group,01/07/2023,23/06/2024
SBRY.L,J Sainsbury PLC,01/07/2023,30/06/2025
SGE.L,Sage Group PLC,01/07/2023,30/06/2025
SHEL.L,Shell PLC,01/07/2023,30/06/2025
SJP.L,St James's Place PLC,01/07/2023,23/06/2024
SJP.L,St James's Place PLC,23/12/2024,30/06/2025
SMDS.L,DS Smith,01/07/2023,02/02/2025
SMIN.L,Smiths Group PLC,01/07/2023,30/06/2025
SMT.L,Scottish Mortgage Investment Trust PLC,01/07/2023,30/06/2025
SN.L,Smith & Nephew PLC,01/07/2023,30/06/2025
SSE.L,SSE PLC,01/07/2023,30/06/2025
STAN.L,Standard Chartered PLC,01/07/2023,30/06/2025
SVT.L,Severn Trent PLC,01/07/2023,30/06/2025
TSCO.L,Tesco PLC,01/07/2023,30/06/2025
TW.L,Taylor PLC,01/07/2023,30/06/2025
UTG.L,Unite,01/07/2023,30/06/2025
UU.L,United Utilities Group PLC,01/07/2023,30/06/2025
VOD.L,Vodafone Group PLC,01/07/2023,30/06/2025
WEIR.L,Weir Group PLC,01/07/2023,30/06/2025